word,count
bed,270
respose,1
limbs,47
travel,33
tired,15
begins,55
journey,26
bodys,23
expired,1
thoughts,246
far,279
abide,37
intend,53
zealous,6
drooping,10
eyelids,13
open,147
looking,35
darkness,39
blind,80
imaginary,8
presents,15
shadow,78
sightless,5
view,77
jewel,59
hung,25
ghastly,6
makes,358
black,160
quiet,77
plight,13
debarred,1
benefit,39
oppression,15
eased,2
oppressed,6
enemies,111
eithers,6
reign,41
consent,94
hands,319
torture,31
complain,16
farther,43
off,478
clouds,59
blot,22
flatter,43
swartcomplexioned,1
sparkling,8
twire,1
gildst,1
daily,31
sorrows,53
nightly,22
griefs,58
length,34
stronger,38
disgrace,48
beweep,4
outcast,3
trouble,77
deaf,24
bootless,20
cries,63
curse,99
fate,44
wishing,9
featured,1
friends,480
desiring,6
mans,160
scope,29
enjoy,47
contented,28
almost,161
despising,3
haply,45
lark,24
break,257
arising,1
sullen,18
hymns,4
gate,62
wealth,71
brings,53
scorn,95
kings,284
sessions,3
summon,14
sigh,51
lack,98
sought,36
woes,45
drown,43
flow,28
precious,76
hid,44
dateless,4
afresh,5
cancelled,1
woe,127
moan,20
vanished,5
grieve,40
grievances,7
foregone,3
heavily,13
sad,160
account,45
forebemoaned,1
while,244
friend,436
losses,15
restored,6
endeared,3
hearts,224
lacking,6
supposed,17
dead,530
reigns,14
holy,195
obsequious,8
tear,80
religious,21
stoln,58
interest,29
appear,129
hidden,8
lie,323
trophies,6
lovers,74
images,11
loved,47
survive,9
wellcontented,1
bones,75
dust,59
resurvey,2
deceased,5
lover,52
bettring,2
outstripped,1
reserve,9
exceeded,3
vouchsafe,52
grown,57
growing,29
dearer,23
birth,86
brought,196
march,122
ranks,15
better,594
equipage,2
died,104
style,19
full,415
glorious,40
morning,124
seen,266
mountain,31
tops,10
sovereign,142
kissing,26
meadows,3
pale,127
streams,11
alchemy,3
anon,127
permit,13
basest,13
ride,56
ugly,25
rack,16
celestial,16
forlorn,18
visage,34
hide,110
stealing,16
unseen,20
west,42
early,50
morn,35
shine,45
triumphant,14
splendour,3
alack,77
region,15
cloud,26
masked,5
whit,20
disdaineth,2
stain,39
staineth,1
didst,183
promise,102
forth,369
cloak,27
base,156
oertake,8
hiding,10
bravry,2
rotten,37
smoke,20
enough,311
dry,65
stormbeaten,1
salve,11
speak,1165
heals,1
wound,73
cures,8
physic,33
grief,212
repent,59
loss,117
offenders,15
sorrow,180
weak,103
relief,13
bears,107
offences,25
cross,63
tears,284
pearl,26
sheds,3
ransom,53
deeds,119
grieved,9
roses,29
thorns,15
silver,61
fountains,4
mud,8
eclipses,5
loathsome,16
canker,19
sweetest,25
faults,103
authorizing,1
trespass,18
corrupting,3
salving,1
amiss,37
excusing,2
sins,40
sensual,4
fault,162
bring,444
sense,124
adverse,12
advocate,8
lawful,61
plea,9
commence,5
civil,49
accessary,3
needs,147
thief,66
sourly,3
robs,8
confess,126
twain,38
undivided,1
blots,8
remain,63
help,317
separable,1
spite,59
alter,15
sole,26
steal,84
delight,56
evermore,25
acknowledge,19
lest,146
bewailed,1
guilt,28
kindness,51
name,655
sort,69
report,146
decrepit,3
active,6
lame,15
fortunes,152
dearest,55
comfort,186
whether,96
entitled,1
crowned,21
sit,212
engrafted,1
despised,14
sufficed,1
invent,7
pourst,1
argument,67
excellent,119
vulgar,24
aught,76
perusal,2
whos,85
invention,30
tenth,10
nine,60
rhymers,2
invocate,3
outlive,17
slight,32
curious,12
pain,65
manners,70
ist,183
divided,19
separation,5
deservst,3
absence,55
torment,31
sour,33
leisure,63
entertain,39
teachest,5
praising,12
yea,188
hadst,101
receivest,2
blame,82
usest,5
blamed,4
deceivest,1
wilful,12
taste,80
refusest,1
forgive,74
robbery,8
poverty,23
greater,86
hates,20
known,187
injury,30
lascivious,15
kill,198
spites,3
foes,73
pretty,116
wrongs,73
liberty,73
absent,33
years,190
befits,9
temptation,5
follows,68
won,95
assailed,4
woos,5
prevailed,1
ay,764
mightst,31
seat,58
forbear,57
straying,4
lead,147
riot,14
forced,14
twofold,6
hers,51
tempting,4
said,381
dearly,42
wailing,6
nearly,6
ye,289
because,187
knowst,73
sake,173
suffring,6
approve,27
gain,56
losing,22
found,224
lay,278
heres,209
flattery,22
wink,28
unrespected,2
sleep,257
dreams,46
darkly,8
dark,76
directed,13
shadows,31
clear,59
clearer,5
unseeing,2
imperfect,6
heavy,165
nights,60
dull,109
flesh,131
injurious,15
distance,27
space,29
limits,9
remote,8
matter,354
foot,169
farthest,14
nimble,23
jump,13
sea,201
land,206
soon,142
kills,29
leap,26
large,71
lengths,2
miles,21
water,134
attend,116
receiving,7
elements,24
slow,50
badges,4
purging,3
fire,255
wherever,6
presentabsent,1
swift,65
motion,79
slide,5
quicker,2
embassy,14
sinks,6
down,654
melancholy,69
until,76
lifes,16
composition,16
recured,1
messengers,34
returned,7
assured,16
health,102
recounting,2
told,227
straight,152
divide,27
pictures,9
bar,33
freedom,33
closet,26
pierced,3
crystal,12
defendant,5
says,239
appearance,13
side,172
title,87
impanelled,1
quest,10
tenants,5
verdict,7
determined,4
moiety,16
betwixt,56
league,34
took,158
unto,428
famished,1
sighs,50
smother,7
picture,41
feast,100
banquet,31
bids,57
guest,35
share,27
present,244
move,98
awakes,4
careful,22
trifle,25
truest,11
thrust,54
falsehood,34
wards,6
jewels,27
trifles,15
greatest,51
care,214
prey,39
locked,1
chest,9
feel,103
closure,3
whence,75
thence,90
proves,17
thievish,5
prize,47
defects,6
cast,96
utmost,19
called,23
advised,9
respects,18
strangely,26
pass,147
scarcely,17
greet,43
reasons,69
settled,16
gravity,13
ensconce,3
desert,44
uprear,1
guard,129
allege,2
seek,228
travels,7
teach,104
repose,25
measured,3
beast,71
plods,1
dully,3
weight,44
instinct,16
wretch,57
rider,8
speed,240
spur,33
provoke,16
sometimes,62
anger,54
thrusts,6
answers,24
groan,34
sharp,63
spurring,4
onward,3
offence,94
bearer,7
posting,4
extremity,27
mounted,14
winged,12
horse,221
pace,29
perfectst,1
neigh,8
fiery,47
race,17
jade,11
going,106
went,99
wilfulslow,1
towards,70
run,193
key,29
uplocked,1
survey,14
blunting,2
seldom,29
feasts,17
solemn,41
stones,62
thinly,3
captain,170
carcanet,2
wardrobe,5
robe,20
special,37
instant,61
specialblest,1
unfolding,3
imprisoned,4
worthiness,16
lacked,3
whereof,83
millions,8
strange,250
tend,27
describe,2
adonis,3
poorly,7
imitated,2
helens,9
cheek,74
grecian,32
tires,6
foison,5
external,7
deem,10
odour,4
blooms,1
dye,5
perfumed,4
tincture,2
hang,167
wantonly,1
breath,207
discloses,1
virtue,185
unwooed,1
odours,5
vade,1
distills,1
marble,14
gilded,21
monuments,6
powerful,14
contents,27
unswept,3
stone,59
besmeared,1
sluttish,4
statues,3
overturn,1
broils,12
root,44
masonry,2
mars,42
sword,347
wars,143
quick,101
record,23
alloblivious,1
enmity,18
room,70
ending,11
judgment,100
renew,13
force,107
edge,41
blunter,1
appetite,38
today,167
feeding,16
allayed,1
tomorrow,232
sharpened,1
former,63
fill,71
hungry,24
fulness,5
spirit,262
perpetual,21
dulness,2
interim,11
ocean,28
shore,54
banks,13
blest,53
thrice,66
wished,5
slave,128
services,34
require,20
worldwithoutend,2
watch,185
bitterness,11
bid,337
servant,416
adieu,101
jealous,49
affairs,67
suppose,30
fool,461
thinks,58
god,773
control,15
crave,42
vassal,18
bound,175
suffer,82
beck,5
patience,190
tame,37
sufferance,23
bide,16
accusing,3
charter,8
privilage,1
belong,17
pardon,298
selfdoing,1
wait,62
waiting,15
hell,275
been,697
brains,46
beguiled,4
labouring,14
amis,2
backward,20
five,126
courses,16
character,18
composed,2
wonder,116
mended,14
revolution,4
wits,84
subjects,63
worse,161
admiring,6
waves,17
pebbled,1
hasten,8
goes,173
sequent,9
forwards,1
contend,15
nativity,14
main,47
crawls,1
maturity,2
wherewith,10
crooked,13
confound,35
transfix,1
flourish,133
delves,1
parallels,3
feeds,16
rarities,2
stands,155
mow,7
slumbers,5
broken,61
mock,86
sendst,1
home,338
pry,8
shames,21
idle,66
tenure,3
jealousy,35
awake,77
defeat,13
watchman,17
wake,52
elsewhere,10
near,265
sin,152
possesseth,2
soul,437
remedy,59
grounded,5
define,5
worths,3
surmount,2
indeed,437
beated,1
chopt,3
tanned,1
antiquity,7
contrary,47
selfloving,2
iniquity,7
painting,21
crushed,1
oerworn,2
drained,2
travelled,1
ages,18
steepy,2
hes,298
king,2861
vanishing,1
confounding,4
knife,52
cut,171
defaced,1
richproud,1
outworn,2
towers,6
downrased,1
brass,18
advantage,72
kingdom,91
firm,41
soil,24
win,115
watery,6
interchange,6
confounded,9
ruin,37
taught,49
ruminate,8
fears,77
boundless,7
mortality,13
oersways,2
power,307
action,114
flower,43
honey,33
wrackful,1
siege,31
battring,1
rocks,19
impregnable,4
stout,18
gates,101
steel,68
decays,4
fearful,89
meditation,7
spoil,25
miracle,26
ink,29
restful,2
cry,215
beggar,60
born,165
needy,6
trimmed,1
jollity,6
purest,6
faith,400
unhappily,5
forsworn,63
shamefully,5
misplaced,2
rudely,6
strumpeted,2
wrongfully,8
disgraced,2
limping,3
sway,36
disabled,3
tonguetied,12
authority,55
doctorlike,1
simple,112
miscalled,1
simplicity,13
captive,14
infection,20
impiety,6
achieve,14
lace,6
society,26
imitate,11
bankrupt,12
beggared,1
blush,50
lively,12
veins,27
exchequer,7
gains,7
stores,2
bad,122
map,11
lived,19
bastard,206
signs,32
durst,51
inhabit,9
tresses,3
sepulchres,3
shorn,2
fleece,9
gay,9
anothers,25
robbing,6
dress,21
yore,1
mend,60
tongues,83
voice,156
uttering,2
commend,90
accents,7
seeing,50
shown,30
guess,50
measure,95
churls,2
add,39
rank,50
smell,48
weeds,44
matcheth,1
common,151
slanders,19
suspect,38
crow,29
flies,54
slander,46
wooed,6
vice,51
presentst,1
pure,68
unstained,3
passed,5
ambush,8
victor,6
charged,10
tie,19
envy,51
enlarged,2
kingdoms,35
owe,73
mourn,27
surly,11
bell,37
warning,15
fled,88
vile,115
vilest,5
nay,584
line,43
remember,189
thinking,47
perhaps,44
compounded,9
clay,15
wise,162
task,30
recite,1
devise,48
willingly,35
impart,12
untrue,7
shamed,4
yellow,28
few,64
boughs,10
ruined,2
choirs,1
late,193
birds,37
sang,1
seest,52
twilight,1
sunset,4
fadeth,1
seals,10
glowing,4
ashes,19
deathbed,9
expire,6
consumed,3
nourished,2
perceivst,1
arrest,27
bail,16
carry,87
memorial,3
reviewest,1
review,2
consecrate,9
lost,255
dregs,7
coward,85
wretchs,2
contains,12
remains,39
food,65
sweetseasoned,1
showers,9
ground,161
peace,534
strife,32
twixt,73
miser,4
enjoyer,1
doubting,7
filching,3
counting,3
bettered,3
feasting,8
clean,23
starved,7
possessing,2
pursuing,4
pine,19
surfeit,15
gluttoning,1
variation,3
glance,11
aside,465
newfound,2
compounds,6
noted,23
showing,16
proceed,72
always,62
dressing,1
spending,3
already,147
spent,69
telling,26
dial,8
vacant,6
minds,63
imprint,1
learning,30
mouthed,2
graves,34
dials,6
shady,3
stealth,10
progress,13
eternity,10
commit,39
blanks,5
